INFO 2025-08-13 16:07:19,771 autoreload 25840 25104 Watching for file changes with StatReloader
WARNING 2025-08-13 16:07:22,207 log 25840 17548 Not Found: /
WARNING 2025-08-13 16:07:22,207 basehttp 25840 17548 "GET / HTTP/1.1" 404 2769
WARNING 2025-08-13 16:07:22,382 log 25840 17548 Not Found: /favicon.ico
WARNING 2025-08-13 16:07:22,383 basehttp 25840 17548 "GET /favicon.ico HTTP/1.1" 404 2820
INFO 2025-08-13 16:07:37,616 basehttp 25840 17548 "GET /api HTTP/1.1" 301 0
WARNING 2025-08-13 16:07:37,698 log 25840 21932 Forbidden: /api/
WARNING 2025-08-13 16:07:37,698 basehttp 25840 21932 "GET /api/ HTTP/1.1" 403 9712
INFO 2025-08-13 16:07:37,842 basehttp 25840 21932 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-08-13 16:07:37,853 basehttp 25840 19332 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-08-13 16:07:37,865 basehttp 25840 21932 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2025-08-13 16:07:37,870 basehttp 25840 22232 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2025-08-13 16:07:37,871 basehttp 25840 9600 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2025-08-13 16:07:37,877 basehttp 25840 5940 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-08-13 16:07:37,888 basehttp 25840 5940 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2025-08-13 16:07:37,902 basehttp 25840 9600 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2025-08-13 16:07:37,903 basehttp 25840 21932 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-08-13 16:07:37,909 basehttp 25840 22232 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-08-13 16:07:37,910 basehttp 25840 19332 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-08-13 16:07:37,933 basehttp 25840 21596 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
WARNING 2025-08-13 16:07:42,561 log 25840 21596 Forbidden: /api/
WARNING 2025-08-13 16:07:42,562 basehttp 25840 21596 "GET /api/ HTTP/1.1" 403 9712
INFO 2025-08-13 16:08:14,316 basehttp 25840 21596 "GET /api/products HTTP/1.1" 301 0
WARNING 2025-08-13 16:08:14,321 log 25840 19332 Forbidden: /api/products/
WARNING 2025-08-13 16:08:14,322 basehttp 25840 19332 "GET /api/products/ HTTP/1.1" 403 9893
INFO 2025-08-13 16:08:27,473 basehttp 25840 19332 "GET /api/products/scan_barcode HTTP/1.1" 301 0
WARNING 2025-08-13 16:08:27,479 log 25840 22232 Forbidden: /api/products/scan_barcode/
WARNING 2025-08-13 16:08:27,480 basehttp 25840 22232 "GET /api/products/scan_barcode/ HTTP/1.1" 403 8722
WARNING 2025-08-13 16:08:30,338 log 25840 22232 Forbidden: /api/products/
WARNING 2025-08-13 16:08:30,338 basehttp 25840 22232 "GET /api/products/ HTTP/1.1" 403 9893
WARNING 2025-08-13 16:08:31,338 log 25840 22232 Forbidden: /api/
WARNING 2025-08-13 16:08:31,338 basehttp 25840 22232 "GET /api/ HTTP/1.1" 403 9712
WARNING 2025-08-13 16:08:32,503 log 25840 22232 Forbidden: /api/
WARNING 2025-08-13 16:08:32,503 basehttp 25840 22232 "GET /api/ HTTP/1.1" 403 9712
